,Actual,Date,Forecasted
2014-04-09,-0.5289543857317307,2014-04-09,-0.37498849630355835
2014-04-10,-0.5491253680382018,2014-04-10,-0.4310009777545929
2014-04-11,-0.5592131147540984,2014-04-11,-0.4704345762729645
2014-04-14,-0.5531770163173984,2014-04-14,-0.4947756230831146
2014-04-15,-0.5499544787198267,2014-04-15,-0.508895993232727
2014-04-16,-0.5361329329988073,2014-04-16,-0.5149558186531067
2014-04-17,-0.5482293857935129,2014-04-17,-0.5125154852867126
2014-04-21,-0.5560411882361657,2014-04-21,-0.5174734592437744
2014-04-22,-0.5522302300001642,2014-04-22,-0.5200626850128174
2014-04-23,-0.5592771459728929,2014-04-23,-0.5228632092475891
2014-04-24,-0.5600556474781648,2014-04-24,-0.5249993801116943
2014-04-25,-0.5682461599412332,2014-04-25,-0.5297545790672302
2014-04-28,-0.5641797014975125,2014-04-28,-0.5332819819450378
2014-04-29,-0.5557607885364035,2014-04-29,-0.5464006066322327
2014-04-30,-0.5501656770894656,2014-04-30,-0.5489695072174072
2014-05-01,-0.5408168485675307,2014-05-01,-0.5525113344192505
2014-05-02,-0.5521600536867712,2014-05-02,-0.5706475377082825
2014-05-05,-0.5580387365222991,2014-05-05,-0.5877406001091003
2014-05-06,-0.5642526579111944,2014-05-06,-0.5926589965820312
2014-05-07,-0.5673092986735273,2014-05-07,-0.6013340353965759
2014-05-08,-0.5603107249120909,2014-05-08,-0.6057878732681274
2014-05-09,-0.5452056687364522,2014-05-09,-0.6058441996574402
2014-05-12,-0.5353234603700636,2014-05-12,-0.6136839389801025
2014-05-13,-0.5215950952763766,2014-05-13,-0.6101469397544861
2014-05-14,-0.5203988225580645,2014-05-14,-0.6079702973365784
2014-05-15,-0.5276346917823507,2014-05-15,-0.6135531663894653
